interfacecontrol_mainmenu               Ana Menü
interfacecontrol_mainmenu_tooltip       Ana menüye geçiş yap (Yeni/Yükle/Kayıtlı gibi)

object_firemen_hosehelp                 Hareket etmek için basılı tut. Press and hold on flames to aim the hoses manually.

click_to_continue                       Devam Etmek İçin Bas...
gameover_caption                        Devam Etmek İçin Menüyü Açın.

adviser_deathrow_explain5               Biz beklerken, etrafa bir göz gezdir. Etrafı görmek için ekranı sürükleyin, ve iki parmağınızla sıkıştırarak yakınlaştırıp uzaklaştırın.
adviser_deathrow_internaldoors2         Bir nesneyi yerleştirmeden önce ekranın sağındaki Döndür düğmesine dokunarak döndürebilirsiniz.
objective_deathrow_buildinternaldoors   İç kapılar inşa edin.

objective_food_extinguishflames_description  İtfaiyecileri seçtiğinizde, hortumlarına nişan almak için alevlere basılı tutabilirsiniz, ancak alevler 15 kareden daha az uzaklıkta olmalıdır.
